========== 鬼谷八荒 造物属性字典 02/02/2026 09:56:13 ==========
此文件包含 AI 造物所需的所有属性 Key、ID 及含义。

>>> [1. 气运与角色属性字典 (RoleEffect Keys)]
说明：用于 'ConfRoleEffectItem.value' 字段。格式通常为 key_参数1_参数2
---------------------------------------------------------------
Key: intoDungeon     | 出现次数: 348  | 样本: intoDungeon_24172
Key: earthLock       | 出现次数: 3    | 样本: earthLock_1
Key: woodLock        | 出现次数: 3    | 样本: woodLock_1
Key: monthFunction   | 出现次数: 3    | 样本: monthFunction_addCurAttrPercent_hp_20
Key: learnSkillCost  | 出现次数: 3    | 样本: learnSkillCost_0_1_&700062_jsts&
Key: pillFurnace     | 出现次数: 3    | 样本: pillFurnace_700203
Key: addExp          | 出现次数: 3    | 样本: addExp_1_100_100
Key: pillLayer       | 出现次数: 3    | 样本: pillLayer_1_&8500101_djsl&
Key: relationEffect  | 出现次数: 3    | 样本: relationEffect_10_-1_&8500111_djcs&_spMax_&8500111_tsnl&
Key: roleSight       | 出现次数: 3    | 样本: roleSight_&810101_zjsy&
Key: mapFoundMaterials | 出现次数: 3    | 样本: mapFoundMaterials_&811107_scgl&_&811107_lqsj&_addGridArrtRange_3_1_1_&811107_zjlq&
Key: viewItemCount   | 出现次数: 3    | 样本: viewItemCount_&811114_cksl&
Key: createEventPoint | 出现次数: 3    | 样本: createEventPoint_71040_106_67_0|addTask_2110505
Key: battleChikenGrow | 出现次数: 3    | 样本: battleChikenGrow_0_10
Key: immortalLife    | 出现次数: 3    | 样本: immortalLife_1_0
Key: npcUnitInfoFateIcon | 出现次数: 3    | 样本: npcUnitInfoFateIcon_Tianming-Icon-Shihunjian
Key: moodDownStable  | 出现次数: 2    | 样本: moodDownStable_0_20
Key: talentLock      | 出现次数: 2    | 样本: talentLock_20
Key: swordGrow       | 出现次数: 2    | 样本: swordGrow_0_30
Key: stepGrow        | 出现次数: 2    | 样本: stepGrow_0_50
Key: createNpc       | 出现次数: 2    | 样本: createNpc_1001
Key: immortal        | 出现次数: 2    | 样本: immortal_12
Key: serendipity     | 出现次数: 2    | 样本: serendipity_60206_losechance64515011_10_147
Key: escapeSucceed   | 出现次数: 2    | 样本: escapeSucceed_100_0
Key: bannedItem      | 出现次数: 2    | 样本: bannedItem_pil
Key: meetMonsterProb | 出现次数: 2    | 样本: meetMonsterProb_&700031_yggl&_fate700031
Key: learnSkillExp   | 出现次数: 2    | 样本: learnSkillExp_0_&700065_tsjy&
Key: increaseBasPil  | 出现次数: 2    | 样本: increaseBasPil_&700130_ldzz&
Key: graveLife       | 出现次数: 2    | 样本: graveLife_0_&700147_jssm&_&700147_cfgl&
Key: taskReward      | 出现次数: 2    | 样本: taskReward_&700148_jlzj&
Key: featureTime     | 出现次数: 2    | 样本: featureTime_2_&700150_fmqy&
Key: intoDungeonOther | 出现次数: 2    | 样本: intoDungeonOther_1_105_81051
Key: mpRes           | 出现次数: 2    | 样本: mpRes_1_3
Key: swordLock       | 出现次数: 2    | 样本: swordLock_1
Key: spearLock       | 出现次数: 2    | 样本: spearLock_1
Key: sladeLock       | 出现次数: 2    | 样本: sladeLock_1
Key: fistLock        | 出现次数: 2    | 样本: fistLock_1
Key: palmLock        | 出现次数: 2    | 样本: palmLock_1
Key: fingerLock      | 出现次数: 2    | 样本: fingerLock_1
Key: pillEffectAlter | 出现次数: 2    | 样本: pillEffectAlter_0_&700205_hftl&_hp
Key: pillBattleEffectTime | 出现次数: 2    | 样本: pillBattleEffectTime_0_&700206_zjsj&
Key: featureTiming   | 出现次数: 2    | 样本: featureTiming_3_8012001
Key: guardV          | 出现次数: 2    | 样本: guardV_0_5
Key: featureClearAll | 出现次数: 2    | 样本: featureClearAll_9300108
Key: changeFateFeatureLuckCostProp | 出现次数: 2    | 样本: changeFateFeatureLuckCostProp_8104050_700212
Key: fairyLeagueStoreLayerDiscount | 出现次数: 2    | 样本: fairyLeagueStoreLayerDiscount_1_0_-50
Key: moneyAdd        | 出现次数: 1    | 样本: moneyAdd_-50
Key: wantedBySchool  | 出现次数: 1    | 样本: wantedBySchool
Key: randomArtifactWithSprite | 出现次数: 1    | 样本: randomArtifactWithSprite_3031108_75_1_4_1
Key: stealAbility    | 出现次数: 1    | 样本: stealAbility_4
Key: bladeGrow       | 出现次数: 1    | 样本: bladeGrow_0_30
Key: spearGrow       | 出现次数: 1    | 样本: spearGrow_0_30
Key: die             | 出现次数: 1    | 样本: die
Key: fspLock         | 出现次数: 1    | 样本: fspLock_300
Key: noFax           | 出现次数: 1    | 样本: noFax
Key: captivity       | 出现次数: 1    | 样本: captivity
Key: monthLockPoint  | 出现次数: 1    | 样本: monthLockPoint
Key: npcNotOperation | 出现次数: 1    | 样本: npcNotOperation
Key: monthLostItem   | 出现次数: 1    | 样本: monthLostItem_100_1_2_10_30
Key: stealSucceed    | 出现次数: 1    | 样本: stealSucceed_1_100_fate700018
Key: stealExpose     | 出现次数: 1    | 样本: stealExpose_100_fate700018
Key: escapeClose     | 出现次数: 1    | 样本: escapeClose_&700021_tsqm&_fate700021
Key: drillClose      | 出现次数: 1    | 样本: drillClose_&700030_tsqm&_fate700030
Key: npcCommunicateClose | 出现次数: 1    | 样本: npcCommunicateClose_&700031_jdgl&_&700031_jdqm&_fate7000311
Key: trainsExp       | 出现次数: 1    | 样本: trainsExp_&700032_tgjy&_fate700032
Key: trainsGive      | 出现次数: 1    | 样本: trainsGive_fate7000321
Key: moneyExp        | 出现次数: 1    | 样本: moneyExp_&700045_tsjy&_fate700045
Key: battleLearnSkill | 出现次数: 1    | 样本: battleLearnSkill_&700047_xxgl&_&700047_nzcd&_fate700047
Key: talkAnswer      | 出现次数: 1    | 样本: talkAnswer
Key: trainRestore    | 出现次数: 1    | 样本: trainRestore_&700049_hftl&_&700049_hfll&_&700049_fhnl&_fate700049
Key: attachAttrByArtifact | 出现次数: 1    | 样本: attachAttrByArtifact_hpMax_0_&700132_tssx&
Key: drillExp        | 出现次数: 1    | 样本: drillExp_&700145_xdzj&_fate700145
Key: learnSkillUp    | 出现次数: 1    | 样本: learnSkillUp_&700146_tjjj&_&700146_lqsj&_fate700146
Key: notTopUpGrade   | 出现次数: 1    | 样本: notTopUpGrade_1
Key: closeMapUI      | 出现次数: 1    | 样本: closeMapUI
Key: monthProbableReward | 出现次数: 1    | 样本: monthProbableReward_30_6391903_1_12
Key: killNpcReward   | 出现次数: 1    | 样本: killNpcReward_0_50_6391904_1_12
Key: gradeEffect     | 出现次数: 1    | 样本: gradeEffect_0_3_hpMax_&8200118_tstl&
Key: moneyEffect     | 出现次数: 1    | 样本: moneyEffect_&8200121_xqls&_hpMax_&8200121_tstl&
Key: killNpcEffect   | 出现次数: 1    | 样本: killNpcEffect_1_&8200122_djcs&_hpMax_&8200122_tstl&
Key: equipAbility    | 出现次数: 1    | 样本: equipAbility_hpMax_1_&8200124_tstl&
Key: skillColorEffect | 出现次数: 1    | 样本: skillColorEffect_5_6_&8400116_djcs&_mpMax_&8400116_tsll&
Key: learnEffect     | 出现次数: 1    | 样本: learnEffect_999999999_mpMax_&8400118_tsll&
Key: forgetEffect    | 出现次数: 1    | 样本: forgetEffect_&8500109_djcs&_spMax_&8500109_tsnl&
Key: doubleReduceDaoxin | 出现次数: 1    | 样本: doubleReduceDaoxin_200
Key: expForbid       | 出现次数: 1    | 样本: expForbid
Key: changeCloth     | 出现次数: 1    | 样本: changeCloth_18226
Key: parentBless     | 出现次数: 1    | 样本: parentBless
Key: revenger        | 出现次数: 1    | 样本: revenger_6_12_70_50_revengerLog9195_revengerHeroLog9195
Key: viewEnemy       | 出现次数: 1    | 样本: viewEnemy
Key: pilCount        | 出现次数: 1    | 样本: pilCount_0_&811101_clzj&
Key: pilEnergy       | 出现次数: 1    | 样本: pilEnergy_0_&811105_jsjl&
Key: mapSpecialSign  | 出现次数: 1    | 样本: mapSpecialSign_&811111_yxfw&
Key: roleEffectAdd   | 出现次数: 1    | 样本: roleEffectAdd_100_8111122
Key: dp              | 出现次数: 1    | 样本: dp_1_&811112_dlhf&
Key: slayHide        | 出现次数: 1    | 样本: slayHide_&811113_ymgl&_900251
Key: breakActionGridGetExp | 出现次数: 1    | 样本: breakActionGridGetExp_3000_920131_24
Key: breakActionGridMine | 出现次数: 1    | 样本: breakActionGridMine_2500_920091_12
Key: artifactDurabilityBySprite | 出现次数: 1    | 样本: artifactDurabilityBySprite_1007_1_100
Key: pilProb         | 出现次数: 1    | 样本: pilProb_0_100
Key: fairyLeagueStoreMoney | 出现次数: 1    | 样本: fairyLeagueStoreMoney_0_-50
Key: skillPrefixValue | 出现次数: 1    | 样本: skillPrefixValue_0_&30106_hxsj&
Key: reduceDevilDemonTime | 出现次数: 1    | 样本: reduceDevilDemonTime_0_&7002091_lyhlq&
Key: replyPotmanHpMax | 出现次数: 1    | 样本: replyPotmanHpMax_0_&7002092_hyhx&_&7002092_mmhf&
Key: carefreeMan     | 出现次数: 1    | 样本: carefreeMan_100_50_1_8
Key: heresyDie       | 出现次数: 1    | 样本: heresyDie_101_0
Key: piscesBless     | 出现次数: 1    | 样本: piscesBless
Key: aiRunCannotSelect | 出现次数: 1    | 样本: aiRunCannotSelect
Key: immortalGradeExpLimit | 出现次数: 1    | 样本: immortalGradeExpLimit_grade10LimitExp
Key: immortalAddSlot | 出现次数: 1    | 样本: immortalAddSlot_2
Key: getImmortal     | 出现次数: 1    | 样本: getImmortal_0_10017
Key: basArtAll       | 出现次数: 1    | 样本: basArtAll_1_10
Key: hpRes           | 出现次数: 1    | 样本: hpRes_0_10
Key: healthDownStable | 出现次数: 1    | 样本: healthDownStable_0_-10
Key: energyUpStable  | 出现次数: 1    | 样本: energyUpStable_0_5
Key: addFeatureByRole | 出现次数: 1    | 样本: addFeatureByRole_9300110_9300109_&3000911_xydsj&
Key: delPlayerEquiptSkill | 出现次数: 1    | 样本: delPlayerEquiptSkill_1_1
Key: delNPCEquiptSkill | 出现次数: 1    | 样本: delNPCEquiptSkill_3_3
Key: learnRandomSkill | 出现次数: 1    | 样本: learnRandomSkill
Key: disableChangeSkill | 出现次数: 1    | 样本: disableChangeSkill
Key: dyingUnitHelpPillRate | 出现次数: 1    | 样本: dyingUnitHelpPillRate_10_50
Key: rollDiceBet     | 出现次数: 1    | 样本: rollDiceBet
Key: soulDevourSword | 出现次数: 1    | 样本: soulDevourSword
Key: dyingAddTime    | 出现次数: 1    | 样本: dyingAddTime_6
Key: yinyangEye      | 出现次数: 1    | 样本: yinyangEye
Key: sexCharm        | 出现次数: 1    | 样本: sexCharm_999
Key: backSteal       | 出现次数: 1    | 样本: backSteal_3
Key: blaming         | 出现次数: 1    | 样本: blaming_1_3
Key: loverHelper1    | 出现次数: 1    | 样本: loverHelper1_3_60_2
Key: loverHelper2    | 出现次数: 1    | 样本: loverHelper2_3_60_2
Key: martialSoul     | 出现次数: 1    | 样本: martialSoul_1_33_0_5_6
Key: wineSoul        | 出现次数: 1    | 样本: wineSoul_3_0_100
Key: stealAddIntim   | 出现次数: 1    | 样本: stealAddIntim_12_60_25_-25_1
Key: noNtrSoul       | 出现次数: 1    | 样本: noNtrSoul
Key: matchMakerSoul  | 出现次数: 1    | 样本: matchMakerSoul
Key: matchBreakerSoul | 出现次数: 1    | 样本: matchBreakerSoul
Key: discoverySoul   | 出现次数: 1    | 样本: discoverySoul
Key: lingshiSoul     | 出现次数: 1    | 样本: lingshiSoul_400
Key: auctionUpPriceSoul | 出现次数: 1    | 样本: auctionUpPriceSoul_60_-1
Key: plunderSoul     | 出现次数: 1    | 样本: plunderSoul_3_1
Key: captivateSoul   | 出现次数: 1    | 样本: captivateSoul_50_180_1_3
Key: npcUltimateSoul | 出现次数: 1    | 样本: npcUltimateSoul_75
Key: footEffect      | 出现次数: 1    | 样本: footEffect_Lianhuashengmie_500
Key: lotusSword      | 出现次数: 1    | 样本: lotusSword
Key: stealedAddRate  | 出现次数: 1    | 样本: stealedAddRate_0_50
Key: nextSpriteLevel | 出现次数: 1    | 样本: nextSpriteLevel_5_6
Key: refreshCloth    | 出现次数: 1    | 样本: refreshCloth
Key: roleTrainAddAbilityExp | 出现次数: 1    | 样本: roleTrainAddAbilityExp
Key: npcRelationTask | 出现次数: 1    | 样本: npcRelationTask_10_1111023_8300001_8300011_4_65
Key: npcRelationGradeUrge | 出现次数: 1    | 样本: npcRelationGradeUrge_10_12_24_8300021_8300031_4_65
Key: npcRelationBreakHatred | 出现次数: 1    | 样本: npcRelationBreakHatred_10_9999_8300041_65
Key: npcRelationAttackEnemy | 出现次数: 1    | 样本: npcRelationAttackEnemy_10_6_12
Key: npcRelationGradeReward | 出现次数: 1    | 样本: npcRelationGradeReward_10_80000011_7
Key: npcRelationSkillReward | 出现次数: 1    | 样本: npcRelationSkillReward_10_80000012
Key: npcRelationLootMarriage | 出现次数: 1    | 样本: npcRelationLootMarriage_5_12_24_8300051_8300061_200_6
Key: npcRelationStopBattle | 出现次数: 1    | 样本: npcRelationStopBattle_5_10
Key: npcRelationRefuseMeet | 出现次数: 1    | 样本: npcRelationRefuseMeet_7
Key: npcRelationAvengeInitiativeMeet | 出现次数: 1    | 样本: npcRelationAvengeInitiativeMeet_7_8300101_300
Key: npcRelationSchoolSkillSteal | 出现次数: 1    | 样本: npcRelationSchoolSkillSteal_7_4_6_8000003_10_extremeEventLogRoleChat80000011
Key: npcRelationTeamworkRevenge | 出现次数: 1    | 样本: npcRelationTeamworkRevenge_7_8_16_8300111
Key: npcRelationRescueBattle | 出现次数: 1    | 样本: npcRelationRescueBattle_7_6_12_8300071_20_6
Key: npcRelationSurrenderMeet | 出现次数: 1    | 样本: npcRelationSurrenderMeet_8300121
Key: npcRelationDieDemand | 出现次数: 1    | 样本: npcRelationDieDemand_8300131_20_6_12_extremeEventLogRoleChat80000012
Key: npcRelationCommand | 出现次数: 1    | 样本: npcRelationCommand_8_9
Key: townSaleExtra   | 出现次数: 1    | 样本: townSaleExtra_0_50


>>> [2. 战斗与装备属性 ID表 (BattleEffectBasePower)]
说明：用于装备、坐骑、技能的属性定义。ID 即为属性的数字代号。
---------------------------------------------------------------
ID     | 描述Key                          | 中文解释 (推测)
11     | effect_value_desc11            | 伤害威力(火)：{0}
12     | effect_value_desc12            | 伤害威力(水)：{0}
13     | effect_value_desc13            | 伤害威力(雷)：{0}
14     | effect_value_desc14            | 伤害威力(风)：{0}
15     | effect_value_desc15            | 伤害威力(土)：{0}
16     | effect_value_desc16            | 伤害威力(木)：{0}
21     | effect_value_desc21            | 伤害威力(刀)：{0}
22     | effect_value_desc22            | 伤害威力(枪)：{0}
23     | effect_value_desc23            | 伤害威力(剑)：{0}
24     | effect_value_desc24            | 伤害威力(拳)：{0}
25     | effect_value_desc25            | 伤害威力(掌)：{0}
26     | effect_value_desc26            | 伤害威力(指)：{0}
31     | effect_value_desc31            | 每秒伤害威力(火)：{0}
32     | effect_value_desc32            | 每秒伤害威力(水)：{0}
33     | effect_value_desc33            | 每秒伤害威力(雷)：{0}
34     | effect_value_desc34            | 每秒伤害威力(风)：{0}
35     | effect_value_desc35            | 每秒伤害威力(土)：{0}
36     | effect_value_desc36            | 每秒伤害威力(木)：{0}
41     | effect_value_desc41            | 每秒伤害威力(刀)：{0}
42     | effect_value_desc42            | 每秒伤害威力(枪)：{0}
43     | effect_value_desc43            | 每秒伤害威力(剑)：{0}
44     | effect_value_desc44            | 每秒伤害威力(拳)：{0}
45     | effect_value_desc45            | 每秒伤害威力(掌)：{0}
46     | effect_value_desc46            | 每秒伤害威力(指)：{0}
51     | effect_value_desc51            | 伤害值(火)：{0}
52     | effect_value_desc52            | 伤害值(水)：{0}
53     | effect_value_desc53            | 伤害值(雷)：{0}
54     | effect_value_desc54            | 伤害值(风)：{0}
55     | effect_value_desc55            | 伤害值(土)：{0}
56     | effect_value_desc56            | 伤害值(木)：{0}
61     | effect_value_desc61            | 伤害值(刀)：{0}
62     | effect_value_desc62            | 伤害值(枪)：{0}
63     | effect_value_desc63            | 伤害值(剑)：{0}
64     | effect_value_desc64            | 伤害值(拳)：{0}
65     | effect_value_desc65            | 伤害值(掌)：{0}
66     | effect_value_desc66            | 伤害值(指)：{0}
100    | effect_value_desc100           | 每秒伤害：{0}
101    | effect_value_desc101           | 回复体力：{0}
102    | effect_value_desc102           | 回复灵力：{0}
103    | effect_value_desc103           | 消耗当前体力：{0}
104    | effect_value_desc104           | 消耗当前灵力：{0}
105    | effect_value_desc105           | 消耗最大体力：{0}
106    | effect_value_desc106           | 消耗最大灵力：{0}
107    | effect_value_desc107           | 增加攻击：{0}
108    | effect_value_desc108           | 增加防御：{0}
109    | effect_value_desc109           | 增加移动速度：{0}
110    | effect_value_desc110           | 增加全灵根：{0}
111    | effect_value_desc111           | 增加火灵根：{0}
112    | effect_value_desc112           | 增加水灵根：{0}
113    | effect_value_desc113           | 增加雷灵根：{0}
114    | effect_value_desc114           | 增加风灵根：{0}
115    | effect_value_desc115           | 增加土灵根：{0}
116    | effect_value_desc116           | 增加木灵根：{0}
120    | effect_value_desc120           | 增加全武器资质：{0}
121    | effect_value_desc121           | 增加刀法资质：{0}
122    | effect_value_desc122           | 增加枪法资质：{0}
123    | effect_value_desc123           | 增加剑法资质：{0}
124    | effect_value_desc124           | 增加拳法资质：{0}
125    | effect_value_desc125           | 增加掌法资质：{0}
126    | effect_value_desc126           | 增加指法资质：{0}
131    | effect_value_desc131           | 增加物理免伤：{0}
132    | effect_value_desc132           | 增加属性免伤：{0}
133    | effect_value_desc133           | 增加会心：{0}
134    | effect_value_desc134           | 增加护心：{0}
135    | effect_value_desc135           | 增加暴击倍数：{0}
136    | effect_value_desc136           | 增加抗暴倍数：{0}
147    | effect_value_desc147           | 降低攻击：{0}
148    | effect_value_desc148           | 降低防御：{0}
149    | effect_value_desc149           | 降低移动速度：{0}
150    | effect_value_desc150           | 降低全灵根：{0}
151    | effect_value_desc151           | 降低火灵根：{0}
152    | effect_value_desc152           | 降低水灵根：{0}
153    | effect_value_desc153           | 降低雷灵根：{0}
154    | effect_value_desc154           | 降低风灵根：{0}
155    | effect_value_desc155           | 降低土灵根：{0}
156    | effect_value_desc156           | 降低木灵根：{0}
160    | effect_value_desc160           | 降低全武器资质：{0}
161    | effect_value_desc161           | 降低刀法资质：{0}
162    | effect_value_desc162           | 降低枪法资质：{0}
163    | effect_value_desc163           | 降低剑法资质：{0}
164    | effect_value_desc164           | 降低拳法资质：{0}
165    | effect_value_desc165           | 降低掌法资质：{0}
166    | effect_value_desc166           | 降低指法资质：{0}
167    | effect_value_desc167           | 降低物理免伤：{0}
168    | effect_value_desc168           | 降低属性免伤：{0}
169    | effect_value_desc169           | 降低会心：{0}
170    | effect_value_desc170           | 降低护心：{0}
171    | effect_value_desc171           | 降低暴击倍数：{0}
172    | effect_value_desc172           | 降低抗暴倍数：{0}
181    | effect_value_desc181           | 伤害百分比(火)：{0}
182    | effect_value_desc182           | 伤害百分比(水)：{0}
183    | effect_value_desc183           | 伤害百分比(雷)：{0}
184    | effect_value_desc184           | 伤害百分比(风)：{0}
185    | effect_value_desc185           | 伤害百分比(土)：{0}
186    | effect_value_desc186           | 伤害百分比(木)：{0}
191    | effect_value_desc191           | 伤害百分比(刀)：{0}
192    | effect_value_desc192           | 伤害百分比(枪)：{0}
193    | effect_value_desc193           | 伤害百分比(剑)：{0}
194    | effect_value_desc194           | 伤害百分比(拳)：{0}
195    | effect_value_desc195           | 伤害百分比(掌)：{0}
196    | effect_value_desc196           | 伤害百分比(指)：{0}
197    | effect_value_desc197           | 额外伤害：{0}
198    | effect_value_desc198           | 最大叠加：{0}层
199    | effect_value_desc199           | 身法消耗降低：{0}
200    | effect_value_desc200           | 伤害威力：{0}
201    | effect_value_desc201           | 概率：{0}%
202    | effect_value_desc202           | 冷却减少：{0}秒
203    | effect_value_desc203           | 降低伤害：{0}
204    | effect_value_desc204           | 持续时间：{0}秒
205    | effect_value_desc205           | 叠加层数：{0}
206    | effect_value_desc206           | 额外伤害：{0}%
207    | effect_value_desc207           | 斩杀体力上限：{0}
208    | effect_value_desc208           | 吸血：{0}%
209    | effect_value_desc209           | 攻击提升：{0}%
210    | effect_value_desc210           | 防御提升：{0}%
